# Run type mod_chal1 mod_chal2 v_col1 v_col2 v_vet1 v_vet2 v_gar1 v_gar2
oi15b001 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi16b000 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi16b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi16b002 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi17b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi18b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi19b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi19b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi20b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi21b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi22b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi23b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi23b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi24b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi25b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi26b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi26b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi27b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi28b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi28b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi29b002 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi30b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oi30b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj02b001 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj02b005 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj02b007 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj03b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj04b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj04b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj05b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj06b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj07b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj08b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj09b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj10b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj11b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj12b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj13b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj13b001 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj14b000 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj14b001 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj17b000 Undefined 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj17b001 Undefined 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj17b002 Undefined 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj17b003 Undefined 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj18b000 Undefined 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj18b001 Undefined 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj18b002 Undefined 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj19b000 Undefined 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj19b001 Undefined 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj19b002 Undefined 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj20b003 Undefined 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj20b004 Undefined 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj23b002 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj24b002 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj30b002 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj31b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj31b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj31b002 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
oj31b003 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok01b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok01b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok01b002 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok02b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok03b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok03b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok04b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok04b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok05b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok05b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok06b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok06b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok07b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok08b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok09b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok10b001 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok10b002 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok11b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok12b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok12b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok12b002 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok13b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok13b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok14b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok24b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok24b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok24b002 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok25b000 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok25b001 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok25b045 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok25b046 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok26b000 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok26b001 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok26b002 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok27b000 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok27b001 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok28b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok29b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok29b002 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ok30b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol01b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol01b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol02b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol03b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol04b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol04b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol05b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol06b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol07b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol08b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol09b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol10b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol10b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol11b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol12b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol12b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol13b000 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol13b001 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol13b002 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol13b003 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol14b001 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol15b000 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol15b001 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol15b002 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol16b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol16b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol17b003 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol18b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol23b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol24b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol25b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol25b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol26b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol27b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol27b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol27b002 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol28b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol28b001 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol28b002 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol29b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol30b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
ol31b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
pa01b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
pa02b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
pa03b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
pa04b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
pa05b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
pa06b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
pa07b000 Gamma 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
pa08b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
pa09b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
pa10b000 Bckgd 200 200 4.00 -4.00 -1.50 1.50 0.00 0.00
